127.0.0.1 - - [13/Feb/2022:13:13:54 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:01 +0530] "GET /Helperland/ HTTP/1.1" 200 39441
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/images/group-23.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/css/style.css;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/group-24.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 57502
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/step-2.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/logo-large.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 8702
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/hl1.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 375242
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/group-36.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 264458
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/group-28.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 32784
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/group-29.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 29758
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/group-30.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 33853
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/images/group-31.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/images/group-33.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/images/group-32.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /Helperland/resources/images/logo-small.png;jsessionid=B5598835387918E0D5A6436D5C292892 HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:14:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "POST /Helperland/forgetpassword HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "GET /Helperland/homepage HTTP/1.1" 200 39001
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "GET /Helperland/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "GET /Helperland/images/group-23.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "GET /Helperland/images/group-32.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "GET /Helperland/images/group-31.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:04 +0530] "GET /Helperland/images/group-33.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:33 +0530] "GET /Helperland/newpassword?email=ifrashaikh0204@gmail.com HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:44 +0530] "POST /Helperland/savepassword HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:44 +0530] "GET /Helperland/homepage HTTP/1.1" 200 39001
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:44 +0530] "GET /Helperland/images/group-23.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:45 +0530] "GET /Helperland/images/group-31.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:45 +0530] "GET /Helperland/images/group-32.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Feb/2022:13:15:45 +0530] "GET /Helperland/images/group-33.png HTTP/1.1" 404 992
